DATE,IBM_CLOSE,AAPL_CLOSE,IBM_SHARE,AAPL_SHARE
2014/10/28,163.6,106.74,3056.234719,4684.279558
2014/10/27,161.87,105.11,3088.898499,4756.921321
2014/10/24,162.08,105.22,3084.896347,4751.948299
2014/10/23,162.18,104.83,3082.994204,4769.627015
2014/10/22,161.79,102.99,3090.425861,4854.840276
2014/10/21,163.23,102.47,3063.162409,4879.47692
2014/10/20,169.1,99.76,2956.830278,5012.028869
2014/10/17,182.05,97.67,2746.498215,5119.279205
2014/10/16,179.84,96.26,2780.24911,5194.265531
2014/10/15,181.75,97.54,2751.031637,5126.102112
2014/10/14,183.8,98.75,2720.348205,5063.291139
2014/10/13,183.52,99.81,2724.498692,5009.518084
2014/10/10,185.93,100.73,2689.184102,4963.764519
2014/10/9,186.42,101.02,2682.115653,4949.514948
2014/10/8,189.36,100.8,2640.473173,4960.31746
2014/10/7,185.71,98.75,2692.369824,5063.291139
2014/10/6,189.04,99.62,2644.942869,5019.072475
2014/10/3,188.67,99.62,2650.129856,5019.072475
2014/10/2,186.91,99.9,2675.084265,5005.005005
2014/10/1,187.17,99.18,2671.368275,5041.33898
2014/9/30,189.83,100.75,2633.935627,4962.779156
2014/9/29,189.64,100.11,2636.574562,4994.506043
2014/9/26,190.06,100.75,2630.748185,4962.779156
2014/9/25,189.01,97.87,2645.362679,5108.81782
2014/9/24,192.31,101.75,2599.9688,4914.004914
2014/9/23,191.62,102.64,2609.330968,4871.395168
2014/9/22,193.11,101.06,2589.197867,4947.555907
2014/9/19,194,100.96,2577.319588,4952.456418
2014/9/18,193.75,101.79,2580.645161,4912.073878
2014/9/17,192.8,101.58,2593.360996,4922.228785
2014/9/16,192.96,100.86,2591.210614,4957.366647
2014/9/15,191.81,101.63,2606.746259,4919.807144
2014/9/12,191.28,101.66,2613.969051,4918.355302
2014/9/11,191.72,101.43,2607.969956,4929.508035
2014/9/10,191.54,101,2610.4208,4950.49505
2014/9/9,189.99,97.99,2631.717459,5102.561486
2014/9/8,190.14,98.36,2629.641317,5083.367222
2014/9/5,191.2,98.97,2615.062762,5052.03597
2014/9/4,190.68,98.12,2622.194252,5095.80106
2014/9/3,191.95,98.94,2604.845012,5053.567819
2014/9/2,191.56,103.3,2610.148256,4840.271055
2014/8/29,192.3,102.5,2600.104004,4878.04878
2014/8/28,192,102.25,2604.166667,4889.97555
2014/8/27,192.25,102.13,2600.780234,4895.72114
2014/8/26,192.99,100.89,2590.807814,4955.892556
2014/8/25,191.16,101.54,2615.60996,4924.167816
2014/8/22,190.41,101.32,2625.912505,4934.85985
2014/8/21,191.23,100.58,2614.652513,4971.16723
2014/8/20,190.1,100.57,2630.194634,4971.661529
2014/8/19,190.07,100.53,2630.609775,4973.63971
2014/8/18,189.36,99.16,2640.473173,5042.355789
2014/8/15,187.38,97.98,2668.374426,5103.082262
2014/8/14,187.88,97.5,2661.273153,5128.205128
2014/8/13,187.95,97.24,2660.28199,5141.916907
2014/8/12,187.34,95.97,2668.944166,5209.961446
2014/8/11,187.47,95.99,2667.093402,5208.875925
2014/8/8,186.63,94.74,2679.09768,5277.601858
