DATE,IBM_CLOSE,AAPL_CLOSE,GE_CLOSE,UPS_CLOSE,IBM_SHARE,AAPL_SHARE,GE_SHARE,UPS_SHARE
2014/10/28,163.6,106.74,135.17,129.484,3301.026408,1320.410563,1980.615845,396.123169
2014/10/27,161.87,105.11,133.49,127.814,3340.619447,1336.247779,2004.371668,400.8743336
2014/10/24,162.08,105.22,133.65,127.964,3336.517706,1334.607082,2001.910623,400.3821247
2014/10/23,162.18,104.83,133.505,127.77,3338.369821,1335.347928,2003.021892,400.6043785
2014/10/22,161.79,102.99,132.39,126.51,3360.201505,1344.080602,2016.120903,403.2241805
2014/10/21,163.23,102.47,132.85,126.774,3342.906526,1337.16261,2005.743916,401.1487831
2014/10/20,169.1,99.76,134.43,127.496,3279.102229,1311.640892,1967.461337,393.4922675
2014/10/17,182.05,97.67,139.86,131.422,3117.161896,1246.864759,1870.297138,374.0594276
2014/10/16,179.84,96.26,138.05,129.692,3157.193109,1262.877244,1894.315865,378.8631731
2014/10/15,181.75,97.54,139.645,131.224,3122.074226,1248.82969,1873.244536,374.6489071
2014/10/14,183.8,98.75,141.275,132.77,3086.444521,1234.577808,1851.866713,370.3733425
2014/10/13,183.52,99.81,141.665,133.294,3082.250344,1232.900137,1849.350206,369.8700412
2014/10/10,185.93,100.73,143.33,134.81,3045.092955,1218.037182,1827.055773,365.4111545
2014/10/9,186.42,101.02,143.72,135.18,3036.914301,1214.76572,1822.14858,364.4297161
2014/10/8,189.36,100.8,145.08,136.224,3002.327885,1200.931154,1801.396731,360.2793462
2014/10/7,185.71,98.75,142.23,133.534,3062.111127,1224.844451,1837.266676,367.4533353
2014/10/6,189.04,99.62,144.33,135.388,3014.476481,1205.790592,1808.685888,361.7371777
2014/10/3,188.67,99.62,144.145,135.24,3019.015571,1207.606229,1811.409343,362.2818686
2014/10/2,186.91,99.9,143.405,134.704,3038.798036,1215.519215,1823.278822,364.6557644
2014/10/1,187.17,99.18,143.175,134.376,3040.695575,1216.27823,1824.417345,364.883469
2014/9/30,189.83,100.75,145.29,136.382,2996.974494,1198.789798,1798.184697,359.6369393
2014/9/29,189.64,100.11,144.875,135.922,3003.727867,1201.491147,1802.23672,360.447344
2014/9/26,190.06,100.75,145.405,136.474,2994.192345,1197.676938,1796.515407,359.3030814
2014/9/25,189.01,97.87,143.44,134.326,3027.17385,1210.86954,1816.30431,363.260862
2014/9/24,192.31,101.75,147.03,137.974,2960.464068,1184.185627,1776.278441,355.2556882
2014/9/23,191.62,102.64,147.13,138.232,2962.595689,1185.038276,1777.557413,355.5114827
2014/9/22,193.11,101.06,147.085,137.88,2955.688903,1182.275561,1773.413342,354.6826684
2014/9/19,194,100.96,147.48,138.176,2945.914888,1178.365955,1767.548933,353.5097866
2014/9/18,193.75,101.79,147.77,138.574,2943.28109,1177.312436,1765.968654,353.1937308
2014/9/17,192.8,101.58,147.19,138.068,2955.832532,1182.333013,1773.499519,354.6999038
2014/9/16,192.96,100.86,146.91,137.7,2958.807482,1183.522993,1775.284489,355.0568979
2014/9/15,191.81,101.63,146.72,137.702,2967.198452,1186.879381,1780.319071,356.0638142
2014/9/12,191.28,101.66,146.47,137.508,2973.297175,1189.31887,1783.978305,356.795661
2014/9/11,191.72,101.43,146.575,137.546,2969.627952,1187.851181,1781.776771,356.3553542
2014/9/10,191.54,101,146.27,137.216,2974.703833,1189.881533,1784.8223,356.9644599
2014/9/9,189.99,97.99,143.99,134.79,3014.274398,1205.709759,1808.564639,361.7129277
2014/9/8,190.14,98.36,144.25,135.072,3009.848465,1203.939386,1805.909079,361.1818158
2014/9/5,191.2,98.97,145.085,135.862,2992.735673,1197.094269,1795.641404,359.1282807
2014/9/4,190.68,98.12,144.4,135.144,3004.940603,1201.976241,1802.964362,360.5928724
2014/9/3,191.95,98.94,145.445,136.144,2983.914196,1193.565678,1790.348518,358.0697035
2014/9/2,191.56,103.3,147.43,138.604,2958.838299,1183.535319,1775.302979,355.0605958
2014/8/29,192.3,102.5,147.4,138.42,2955.515939,1182.206375,1773.309563,354.6619126
2014/8/28,192,102.25,147.125,138.15,2960.743502,1184.297401,1776.446101,355.2892202
2014/8/27,192.25,102.13,147.19,138.178,2958.60299,1183.441196,1775.161794,355.0323588
2014/8/26,192.99,100.89,146.94,137.73,2958.250798,1183.300319,1774.950479,354.9900958
2014/8/25,191.16,101.54,146.35,137.388,2975.5479,1190.21916,1785.32874,357.0657479
2014/8/22,190.41,101.32,145.865,136.956,2986.039786,1194.415914,1791.623872,358.3247743
2014/8/21,191.23,100.58,145.905,136.84,2981.28528,1192.514112,1788.771168,357.7542336
2014/8/20,190.1,100.57,145.335,136.382,2994.954939,1197.981975,1796.972963,359.3945926
2014/8/19,190.07,100.53,145.3,136.346,2995.594798,1198.237919,1797.356879,359.4713758
2014/8/18,189.36,99.16,144.26,135.24,3013.783842,1205.513537,1808.270305,361.654061
2014/8/15,187.38,97.98,142.68,133.74,3046.65526,1218.662104,1827.993156,365.5986312
2014/8/14,187.88,97.5,142.69,133.652,3043.841298,1217.536519,1826.304779,365.2609558
2014/8/13,187.95,97.24,142.595,133.524,3044.82704,1217.930816,1826.896224,365.3792448
2014/8/12,187.34,95.97,141.655,132.518,3061.632249,1224.6529,1836.97935,367.3958699
2014/8/11,187.47,95.99,141.73,132.582,3059.845936,1223.938374,1835.907561,367.1815123
2014/8/8,186.63,94.74,140.685,131.496,3079.609254,1231.843702,1847.765553,369.5531105
2014/8/7,184.3,94.48,139.39,130.408,3111.630103,1244.652041,1866.978062,373.3956124
2014/8/6,185.97,94.49,140.23,131.082,3089.911735,1235.964694,1853.947041,370.7894082
2014/8/5,186,94.65,140.325,131.19,3088.34711,1235.338844,1853.008266,370.6016533
2014/8/4,188.53,95.12,141.825,132.484,3052.772546,1221.109019,1831.663528,366.3327056
2014/8/1,188.04,95.65,141.845,132.606,3055.116875,1222.04675,1833.070125,366.614025
2014/7/31,190.54,95.13,142.835,133.294,3027.658142,1211.063257,1816.594885,363.318977
2014/7/30,192.86,97.66,145.26,135.74,2981.791985,1192.716794,1789.075191,357.8150383
2014/7/29,193.43,97.89,145.66,136.106,2973.405386,1189.362155,1784.043232,356.8086464
2014/7/28,194.63,98.53,146.58,136.97,2954.852222,1181.940889,1772.911333,354.5822666
2014/7/25,193.26,97.19,145.225,135.618,2980.224778,1192.089911,1788.134867,357.6269734
2014/7/24,194.09,96.55,145.32,135.566,2974.686135,1189.874454,1784.811681,356.9623362
2014/7/23,192.49,96.71,144.6,135.022,2992.787621,1197.115049,1795.672573,359.1345146
2014/7/22,192.95,94.25,143.6,133.73,3004.287719,1201.715088,1802.572632,360.5145263
2014/7/21,189.73,93.48,141.605,131.98,3049.500095,1219.800038,1829.700057,365.9400115
2014/7/18,191.37,93.96,142.665,132.924,3025.683087,1210.273235,1815.409852,363.0819705
2014/7/17,191.36,92.63,141.995,132.122,3035.236301,1214.09452,1821.141781,364.2283561
2014/7/16,191.23,94.31,142.77,133.078,3024.937341,1209.974937,1814.962405,362.992481
2014/7/15,187.38,94.85,141.115,131.862,3069.250517,1227.700207,1841.55031,368.3100621
2014/7/14,188.74,95.97,142.355,133.078,3044.04403,1217.617612,1826.426418,365.2852835
2014/7/11,186.89,94.75,140.82,131.606,3076.215831,1230.486332,1845.729499,369.1458997
2014/7/10,186.6,94.57,140.585,131.382,3081.238327,1232.495331,1848.742996,369.7485993
2014/7/9,187.31,94.92,141.115,131.876,3069.630391,1227.852156,1841.778234,368.3556469
