DATE,IBM_CLOSE,AAPL_CLOSE,GE_CLOSE,UPS_CLOSE,IBM_PUT_PRICE_12,AAPL_CALL_PRICE_12,GE_PUT_PRICE_6,UPS_CALL_PRICE_6,IBM_PUT_IMPVOL_12,AAPL_CALL_IMPVOL_12,GE_PUT_IMPVOL_6,UPS_CALL_IMPVOL_6,IBM_SHARE,AAPL_SHARE,GE_SHARE,UPS_SHARE,IBM_PUT_SHARE,AAPL_CALL_SHARE,GE_PUT_SHARE,UPS_CALL_SHARE
10/28/2014,163.6,106.74,135.17,129.484,19.00321861,2.715292996,7.496445599,6.50417177,29.9227141,5.744796145,20.60434972,16.96401692,5332.017448,-2132.806979,3199.210469,-639.8420938,213.2806979,106.640349,159.9605234,31.99210469
10/27/2014,161.87,105.11,133.49,127.814,6.869552325,12.01361282,5.650278975,9.919048946,11.28598533,28.18323769,15.92504982,26.72565897,5395.885401,-2158.35416,3237.53124,-647.5062481,215.835416,107.917708,161.876562,32.3753124
10/24/2014,162.08,105.22,133.65,127.964,12.8400905,10.81662611,8.744922641,8.752428126,20.5641143,25.26808024,24.16070028,23.43953178,5380.072002,-2152.028801,3228.043201,-645.6086402,215.2028801,107.60144,161.4021601,32.28043201
10/23/2014,162.18,104.83,133.505,127.77,17.45540222,9.261723179,8.415439089,9.347038981,27.75728626,21.61098331,23.30561191,25.13706932,5370.263678,-2148.105471,3222.158207,-644.4316414,214.8105471,107.4052736,161.1079104,32.22158207
10/22/2014,161.79,102.99,132.39,126.51,11.72173116,11.96599137,7.472730108,8.586596426,18.85393756,28.66315533,20.95565008,23.25235924,5381.242447,-2152.496979,3228.745468,-645.7490937,215.2496979,107.6248489,161.4372734,32.28745468
10/21/2014,163.23,102.47,132.85,126.774,14.54069103,7.524116923,7.530989335,7.460320775,23.05736259,17.84156314,21.04231441,20.03419305,5326.460875,-2130.58435,3195.876525,-639.1753051,213.058435,106.5292175,159.7938263,31.95876525
10/20/2014,169.1,99.76,134.43,127.496,12.36741793,9.056744728,8.273113533,7.475597805,19.02726622,22.22682296,22.77327089,19.9581212,5114.478429,-2045.791372,3068.687058,-613.7374115,204.5791372,102.2895686,153.4343529,30.68687058
10/17/2014,182.05,97.67,139.86,131.422,18.70548726,7.112786729,7.637712403,4.803282672,26.51927555,17.68941943,20.30146223,12.09047546,4710.852884,-1884.341153,2826.51173,-565.302346,188.4341153,94.21705767,141.3255865,28.2651173
10/16/2014,179.84,96.26,138.05,129.692,9.628759541,2.733654701,6.279928995,4.650620186,14.08364891,6.49153149,17.05176168,11.84487174,4778.76504,-1911.506016,2867.259024,-573.4518048,191.1506016,95.5753008,143.3629512,28.67259024
10/15/2014,181.75,97.54,139.645,131.224,14.00687063,6.913455969,6.318597346,5.727938372,20.01987444,17.19821198,16.96530764,14.61971028,4723.741664,-1889.496666,2834.244999,-566.8489997,188.9496666,94.47483329,141.7122499,28.34244999
