DATE,PORT_LOSS,Historical_VaR_2,Historical_ES_2,Parametric_VaR_U_2,Parametric_ES_U_2,Parametric_VaR_W_2,Parametric_ES_W_2,MonteCarlo_VaR_U_2,MonteCarlo_ES_U_2,MonteCarlo_VaR_W_2,MonteCarlo_ES_W_2
2014-10-28 00:00:00,,65369.48015928012,66580.07934525501,54145.89594679081,54376.23371722561,55600.83163091005,55842.79914194287,57056.39005962596,54285.223546991394,58464.49751173658,56713.373355225594
2014-10-27 00:00:00,,65369.48015928012,66580.07934525501,54645.45158027066,54876.69969034055,55730.38318517094,55972.27285441302,57127.644825562136,50498.46113423028,48521.97723611165,49112.993784011334
2014-10-24 00:00:00,,65369.48015928012,66580.07934525501,54670.4812222569,54902.538231305196,55777.90932384762,56020.02887945203,52284.47526291374,52580.42237315677,51696.72013413068,51422.64172460892
2014-10-23 00:00:00,,65369.48015928012,66580.07934525501,55156.73756315885,55389.34722605534,55857.2485608916,56099.5931634187,60874.43852382456,55103.17707257092,58415.96425166144,55775.01174189135
2014-10-22 00:00:00,,65369.48015928012,66580.07934525501,55609.77513725404,55843.19202808384,55987.02249419759,56229.409807974705,59634.347858551075,56386.333728451085,46088.872375148814,51115.77404630603
2014-10-21 00:00:00,-21968.736539729987,65369.48015928012,66580.07934525501,56210.053915996454,56444.66609970573,56025.56763424678,56268.18238928786,55254.63159120595,54238.09145873241,56362.503850046545,54524.97576396795
2014-10-20 00:00:00,-5436.4715392100625,65369.48015928012,66580.07934525501,55660.44194003043,55894.60993153101,56036.01325621351,56278.83932025463,55632.25490886939,56191.905189257,54584.03322699817,56183.35590975089
2014-10-17 00:00:00,16197.011355800088,69475.89536510012,68028.85980657251,55664.30827411695,55898.25754936144,55474.297372855945,55716.284937354154,58227.87597318506,55115.92010924388,53370.73579066328,52510.91524201053
2014-10-16 00:00:00,4584.343681929866,69475.89536510012,68028.85980657251,55448.198909810744,55682.030380045064,55603.28836513078,55845.18206603057,57587.049728940125,59912.887899823814,55843.75136975851,56714.88787581713
2014-10-15 00:00:00,26973.33496412018,69475.89536510012,68028.85980657251,55417.17849451513,55650.95918736269,55450.94602987496,55692.83738512616,65303.41326651268,61775.749195192555,58603.27821969497,58476.01771863529
